State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.45358	3.46063	3.47897	3.48039	3.47474	3.46816	3.44464	3.41736	3.36704	3.32330	3.27438	3.18549	3.09848	3.04346	2.95033	2.85015	2.74339	2.63804	2.54868	2.46449	2.38971
2	1.10935	1.10206	1.06378	1.04099	1.01455	1.01455	1.00179	0.96624	0.93434	0.90972	0.88876	0.86506	0.85868	0.83953	0.82039	0.79578	0.78667	0.77208	0.78302	0.80125	0.83042
3	1.91001	1.90210	1.90210	2.02865	2.13146	2.07214	2.03260	2.10773	2.17892	2.03655	1.88233	1.91397	1.84278	1.69251	1.70042	1.61738	1.62529	1.62924	1.64506	1.57388	1.53434
4	1.54807	1.56603	1.64060	1.62679	1.60746	1.70274	1.72622	1.75936	1.75246	1.71241	1.62817	1.80079	1.81322	1.77041	1.77455	1.78560	1.80908	1.77179	1.78284	1.78836	1.79527
5	1.15049	1.12196	1.06492	1.00787	1.06492	1.11246	1.12830	1.18218	1.28677	1.39770	1.38186	1.37869	1.40404	1.40404	1.38502	1.39453	1.43257	1.41989	1.46743	1.45475	1.48645
6	4.45256	4.30278	4.28009	4.08946	3.88521	3.78082	3.61742	3.40410	3.26340	3.15447	3.05007	2.82767	2.80044	2.81860	2.76867	2.74597	2.78682	2.77321	2.72328	2.74597	2.73690
7	4.24708	4.27727	4.14644	4.03573	4.00051	3.95019	4.01057	3.92503	3.78413	3.52749	3.14505	3.11486	3.02428	3.06454	3.15512	3.37150	3.26582	3.34131	3.21550	3.22054	3.17021
8	1.41661	1.38752	1.39258	1.38120	1.38120	1.38752	1.37993	1.40650	1.40903	1.42041	1.43432	1.43432	1.42800	1.41914	1.39764	1.36476	1.34578	1.33440	1.31037	1.28760	1.27369
9	0.67058	0.67200	0.67146	0.67519	0.67783	0.67636	0.68004	0.68362	0.69117	0.70191	0.71774	0.72422	0.73515	0.74510	0.75633	0.76820	0.77937	0.79207	0.80212	0.81134	0.81889
10	0.61082	0.61536	0.61725	0.62293	0.62634	0.62748	0.63013	0.63278	0.63240	0.63126	0.63013	0.63240	0.63202	0.63164	0.63202	0.63051	0.63240	0.63543	0.63581	0.63619	0.63278
