State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.76093	0.70364	0.64304	0.58741	0.53095	0.48819	0.44668	0.40890	0.37860	0.36531	0.35369	0.36241	0.37486	0.39603	0.41471	0.45664	0.51269	0.60318	0.71983	0.84645	0.97348
2	1.27364	1.12158	0.92365	0.75952	0.63964	0.54711	0.50447	0.45941	0.43688	0.43045	0.43528	0.43769	0.44895	0.47470	0.48999	0.53022	0.70803	1.12399	1.68639	2.33408	2.97532
3	5.02270	5.20071	5.24609	4.71555	3.74172	2.67366	1.96859	1.75219	1.52880	1.43456	1.37522	1.34381	1.43805	1.64049	2.68413	5.57768	9.97560	13.50441	15.05415	15.29150	14.41191
4	1.94783	2.08435	2.20380	2.27572	2.35982	2.37933	2.21477	1.93564	1.71623	1.69429	1.64432	1.38956	1.20063	1.17991	1.26645	1.38225	1.57362	1.65651	1.71014	1.64798	1.58703
5	1.81275	1.90507	1.95263	2.05054	2.22118	2.49534	2.71633	2.89817	2.64920	1.96941	1.40992	1.21130	1.13297	1.02667	0.95673	0.94554	0.96233	0.97631	0.98750	0.98191	1.02387
6	6.18152	7.45948	9.34238	11.83021	15.31558	19.44594	24.18523	29.40126	34.54919	35.39449	37.99850	46.13903	48.14212	48.08202	45.84658	40.83487	33.52762	26.32052	20.60372	16.09278	12.61943
7	4.57037	5.24549	6.47136	8.84760	11.91228	16.00740	21.35505	27.24457	32.60109	38.89479	40.19617	32.18803	28.23504	24.41085	21.23957	17.87730	14.18192	10.59758	7.77718	5.87175	4.79245
8	2.37794	2.48958	2.59229	2.67825	2.69053	2.66039	2.56550	2.37124	2.08321	1.76950	1.53506	1.48147	1.64893	1.95594	2.26965	2.54317	2.68384	2.80887	2.82674	2.79994	2.72179
9	0.83882	0.82038	0.79589	0.76023	0.71189	0.64698	0.56640	0.47842	0.40182	0.35863	0.33980	0.34335	0.35858	0.37949	0.40385	0.43311	0.46457	0.49326	0.51728	0.53645	0.55224
10	0.46794	0.46326	0.46059	0.45624	0.44956	0.44421	0.43452	0.41847	0.40878	0.40176	0.39574	0.39641	0.39641	0.40711	0.41346	0.41881	0.42683	0.43084	0.43719	0.44087	0.44053
