State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	7.39240	0.45033	3.83634	2.22269	3.27379	0.35370	0.57315	0.28726
2	3.81419	0.28586	1.20099	2.28161	0.88885	0.43529	0.85497	0.16093
3	0.87921	0.94557	1.91763	2.22350	1.88253	1.37526	4.77171	0.12594
4	2.51765	0.98280	1.50966	1.10715	1.62834	1.64437	1.81707	0.60496
5	1.09700	0.40638	1.09404	1.12320	1.38200	1.40996	1.70214	0.48420
6	0.76602	40.07093	7.07062	1.88281	3.05039	37.99566	23.34575	0.20455
7	0.69093	56.30599	6.88554	1.23051	3.14538	40.19741	17.57202	0.49086
8	2.74883	2.72833	1.33564	1.01255	1.43447	1.53510	2.49228	1.25989
9	70.91246	0.15092	0.59062	0.81310	0.71777	0.33981	0.57578	1.08340
10	9.18133	0.43878	0.50593	0.67065	0.63019	0.39576	0.45308	1.55885
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
