State (Emission order)	H3k27ac	H3k9ac	H3k4me3	H3k4me2	H3K4me1	H4k20me1	H3k79me2	H3k36me3	H3K9me3	H3K27me3
1	0.0021642694948959466	0.0036571935722866755	8.323343182086975E-5	1.4565611362498976E-4	0.0047164757968650595	0.008571539617700442	0.04370038331449365	0.21355444424160105	0.003342843807665428	1.3855462816659807E-4
2	0.005325373818006541	0.004532910909070596	3.125219491982171E-5	0.0030187838768002554	0.029011744307484405	0.05626366366068506	0.7423516112201617	0.13363919813127745	0.00585445714717311	2.33854142545132E-4
3	0.29562013774975726	0.0785760103772274	0.12002657495477075	0.5596542216921271	0.7159033505536228	0.1373411132863953	0.8717957871046637	0.15373313175361208	0.018094675813367683	0.008053843749994285
4	0.06794596082205803	0.008103961082694754	1.7020928196725022E-4	0.21787637883437388	0.6544024818858436	0.006869401312118716	0.0071944872076205955	0.01037410657152076	0.004440342350808157	8.688192173377606E-4
5	0.9318608672953608	0.24972465469384544	0.08940696148260245	0.668203001888082	0.7863265213299173	0.005213445998615687	0.015242683382606276	0.012300217390196974	0.006594648809632609	1.0333574144626585E-4
6	0.7929514340537404	0.7358429315473193	0.9861819064681434	0.9834559940629347	0.28529172027902916	0.03810544096577256	0.6113974900982392	0.031944064290387035	0.0019596361185215804	0.00538402408237721
7	0.047166921879571416	0.04198739681503216	0.6532985195836193	0.9390995548191455	0.5879817383447774	0.026684637000975505	0.01777448281702559	6.690864562347667E-4	0.009589133425456134	0.15552140316474541
8	1.966530289326846E-5	0.002136088147733219	2.4414483352502945E-4	0.0016283964279636732	0.00686718355369406	0.020515589405597737	6.97982222072828E-5	8.030236913484089E-5	0.0032530523995425538	0.17175587686479268
9	7.746039472159137E-5	0.00156366655855373	3.3800266616075654E-5	1.8920918393110458E-4	9.794852849670747E-4	0.0018544997823789168	2.412069957721654E-4	7.028847877769095E-4	0.0019468249791916613	0.0031439920995985377
10	1.21529725726329E-4	0.0027729406454444637	7.786903282295613E-4	1.1112017667938195E-4	2.2517763476674382E-4	0.0038030900348698803	1.678042509942871E-4	0.0012380448768875775	0.11146866646230856	7.190023032041824E-4
